sym,date,close,score,qual
SCHW,01/08/2025,95.53,6,True
SCHW,08/08/2025,97.08,6,True
SCHW,15/08/2025,96.11,6,True
SCHW,22/08/2025,95.83,6,True
SCHW,29/08/2025,95.84,6,True
SCHW,05/09/2025,92.05,6,True
SCHW,12/09/2025,93.54,6,True
SCHW,19/09/2025,94.33,6,True
SCHW,26/09/2025,95.46,6,True
SCHW,03/10/2025,94.08,6,True
SCHW,10/10/2025,91.96,6,True
SCHW,17/10/2025,94.14,6,True
SCHW,24/10/2025,94.42,6,True
SCHW,31/10/2025,94.52,6,True
SCHW,07/11/2025,95.24,6,True
SCHW,14/11/2025,94.39,6,True
SCHW,21/11/2025,90.51,6,True
SCHW,28/11/2025,92.73,6,True
SCHW,05/12/2025,93.82,6,True
SCHW,12/12/2025,96.65,6,True
SCHW,19/12/2025,98.82,6,True
SCHW,26/12/2025,101.89,6,True
SCHW,02/01/2026,101.57,6,True
SCHW,09/01/2026,100.17,6,True
SCHW,16/01/2026,103.82,6,True
SCHW,23/01/2026,102.18,6,True
SCHW,30/01/2026,103.92,6,True
SCHW,06/02/2026,105.08,6,True
SCHW,13/02/2026,93.72,6,True
SCHW,20/02/2026,94.03,6,True
SCHW,27/02/2026,95.2,6,True
SCHW,06/03/2026,95.23,6,True
SCHW,13/03/2026,93.06,6,True
SCHW,20/03/2026,94.66,6,True
SCHW,27/03/2026,92.36,6,True
SCHW,03/04/2026,93.77,6,True
SCHW,10/04/2026,94.8,6,True
SCHW,17/04/2026,92.28,6,True
SCHW,24/04/2026,88.5,6,True
SCHW,01/05/2026,91.54,6,True
SCHW,08/05/2026,88.61,6,True
SCHW,15/05/2026,90.88,6,True
SCHW,22/05/2026,90.15,6,True
SCHW,29/05/2026,87.35,6,True
SCHW,05/06/2026,88.84,6,True
SCHW,12/06/2026,91.1,6,True
SCHW,19/06/2026,91.7,6,True
SCHW,26/06/2026,90.67,6,True
SCHW,03/07/2026,97.0,6,True
SCHW,10/07/2026,103.12,6,True
SCHW,17/07/2026,101.1,6,True
SIRI,26/07/2024,37.2,0,False
SIRI,02/08/2024,31.2,0,False
SIRI,09/08/2024,31.4,0,False
SIRI,16/08/2024,30.0,0,False
SIRI,23/08/2024,32.0,0,False
SIRI,30/08/2024,32.9,0,False
SIRI,06/09/2024,27.3,0,False
SIRI,13/09/2024,24.51,0,False
SIRI,20/09/2024,24.95,0,False
SIRI,27/09/2024,24.38,0,False
SIRI,04/10/2024,22.73,0,False
SIRI,11/10/2024,24.93,0,False
SIRI,18/10/2024,27.61,0,False
SIRI,25/10/2024,26.4,0,False
SIRI,01/11/2024,27.65,0,False
SIRI,08/11/2024,26.13,0,False
SIRI,15/11/2024,25.8,0,False
SIRI,22/11/2024,26.22,0,False
SIRI,29/11/2024,26.95,0,False
SIRI,06/12/2024,28.31,0,False
SIRI,13/12/2024,24.11,0,False
SIRI,20/12/2024,23.08,0,False
SIRI,27/12/2024,23.13,0,False
SIRI,03/01/2025,22.36,0,False
SIRI,10/01/2025,20.83,0,False
SIRI,17/01/2025,22.27,0,False
SIRI,24/01/2025,21.96,0,False
SIRI,31/01/2025,24.01,0,False
SIRI,07/02/2025,25.44,0,False
SIRI,14/02/2025,27.11,0,False
SIRI,21/02/2025,24.75,0,False
SIRI,28/02/2025,24.19,0,False
SIRI,07/03/2025,25.23,0,False
SIRI,14/03/2025,22.67,0,False
SIRI,21/03/2025,23.47,0,False
SIRI,28/03/2025,22.75,0,False
SIRI,04/04/2025,19.51,0,False
SIRI,11/04/2025,20.02,0,False
SIRI,18/04/2025,20.32,0,False
SIRI,25/04/2025,21.67,0,False
SIRI,02/05/2025,20.47,0,False
SIRI,09/05/2025,21.57,0,False
SIRI,16/05/2025,22.73,0,False
SIRI,23/05/2025,21.84,0,False
SIRI,30/05/2025,21.68,0,False
SIRI,06/06/2025,21.99,0,False
SIRI,13/06/2025,21.29,0,False
SIRI,20/06/2025,21.75,0,False
SIRI,27/06/2025,22.56,0,False
SIRI,04/07/2025,24.29,0,False
SIRI,11/07/2025,24.21,0,False
SIRI,18/07/2025,23.56,0,False
SIRI,25/07/2025,23.58,0,False
SIRI,01/08/2025,21.18,0,False
SIRI,08/08/2025,21.42,0,False
SIRI,15/08/2025,23.03,0,False
SIRI,22/08/2025,23.45,0,False
SIRI,29/08/2025,23.64,0,False
SIRI,05/09/2025,24.06,0,False
SIRI,12/09/2025,23.28,0,False
SIRI,19/09/2025,23.12,0,False
SIRI,26/09/2025,22.7,0,False
SIRI,03/10/2025,23.28,0,False
SIRI,10/10/2025,20.93,0,False
SIRI,17/10/2025,21.38,0,False
SIRI,24/10/2025,21.4,0,False
SIRI,31/10/2025,21.69,0,False
SIRI,07/11/2025,21.71,0,False
SIRI,14/11/2025,21.51,0,False
SIRI,21/11/2025,20.52,0,False
SIRI,28/11/2025,21.26,0,False
SIRI,05/12/2025,22.03,0,False
SIRI,12/12/2025,21.75,0,False
SIRI,19/12/2025,20.77,0,False
SIRI,26/12/2025,20.6,0,False
SIRI,02/01/2026,20.51,0,False
SIRI,09/01/2026,21.78,0,False
SIRI,16/01/2026,20.45,0,False
SIRI,23/01/2026,20.51,0,False
SIRI,30/01/2026,20.35,0,False
SIRI,06/02/2026,21.68,0,False
SIRI,13/02/2026,21.29,0,False
SIRI,20/02/2026,21.06,0,False
SIRI,27/02/2026,21.96,0,False
SIRI,06/03/2026,22.25,0,False
SIRI,13/03/2026,21.99,0,False
SIRI,20/03/2026,21.99,0,False
SIRI,27/03/2026,22.84,0,False
SIRI,03/04/2026,23.79,0,False
SIRI,10/04/2026,23.7,0,False
SIRI,17/04/2026,25.48,0,False
SIRI,24/04/2026,26.61,6,True
SIRI,01/05/2026,27.22,6,True
SIRI,08/05/2026,27.1,6,True
SIRI,15/05/2026,25.83,0,False
SIRI,22/05/2026,28.89,6,True
SIRI,29/05/2026,29.52,6,True
SIRI,05/06/2026,27.01,6,True
SIRI,12/06/2026,27.52,6,True
SIRI,19/06/2026,28.03,6,True
SIRI,26/06/2026,28.35,6,True
SIRI,03/07/2026,30.51,6,True
SIRI,10/07/2026,30.42,6,True
SIRI,17/07/2026,30.39,6,True
SLB,26/07/2024,48.83,6,True
SLB,02/08/2024,44.93,0,False
SLB,09/08/2024,43.55,0,False
SLB,16/08/2024,44.78,0,False
SLB,23/08/2024,45.12,0,False
SLB,30/08/2024,43.99,0,False
SLB,06/09/2024,40.62,0,False
SLB,13/09/2024,39.96,0,False
SLB,20/09/2024,42.41,0,False
SLB,27/09/2024,42.29,0,False
SLB,04/10/2024,45.46,0,False
SLB,11/10/2024,44.78,0,False
SLB,18/10/2024,41.92,0,False
SLB,25/10/2024,41.74,0,False
SLB,01/11/2024,39.76,0,False
SLB,08/11/2024,43.18,0,False
SLB,15/11/2024,43.18,0,False
SLB,22/11/2024,44.23,0,False
SLB,29/11/2024,43.94,0,False
SLB,06/12/2024,40.96,0,False
SLB,13/12/2024,40.22,0,False
SLB,20/12/2024,36.83,0,False
SLB,27/12/2024,37.8,0,False
SLB,03/01/2025,38.59,0,False
SLB,10/01/2025,38.62,0,False
SLB,17/01/2025,43.58,0,False
SLB,24/01/2025,42.25,0,False
SLB,31/01/2025,40.28,0,False
SLB,07/02/2025,40.16,0,False
SLB,14/02/2025,41.75,0,False
SLB,21/02/2025,41.74,0,False
SLB,28/02/2025,41.66,0,False
SLB,07/03/2025,41.37,0,False
SLB,14/03/2025,41.1,0,False
SLB,21/03/2025,40.99,0,False
SLB,28/03/2025,41.88,0,False
SLB,04/04/2025,34.78,0,False
SLB,11/04/2025,33.96,0,False
SLB,18/04/2025,35.11,0,False
SLB,25/04/2025,34.52,0,False
SLB,02/05/2025,34.73,0,False
SLB,09/05/2025,34.55,0,False
SLB,16/05/2025,35.77,0,False
SLB,23/05/2025,33.66,0,False
SLB,30/05/2025,33.05,0,False
SLB,06/06/2025,33.87,0,False
SLB,13/06/2025,36.3,0,False
SLB,20/06/2025,35.84,0,False
SLB,27/06/2025,34.01,0,False
SLB,04/07/2025,35.65,0,False
SLB,11/07/2025,37.31,0,False
SLB,18/07/2025,33.32,0,False
SLB,25/07/2025,35.47,0,False
SLB,01/08/2025,33.05,0,False
SLB,08/08/2025,32.87,0,False
SLB,15/08/2025,32.99,0,False
SLB,22/08/2025,35.61,0,False
